ori,trip,f_size,mrt_km_o,cycle_km_o,smooth_entro_o,ori_far_pc1,ori_far_pc2
1519,899,108.2272727,0.52,0.52,0.634222088,-0.305344858,1.156714048
1872,740,117.0909091,0.5,0,0.592906072,-0.923464748,-0.079146846
2052,1174,183.9090909,0.74,0,0.609309046,-1.030738864,-0.086903779
2227,625,69.63636364,0.25,0,0.626230952,0.46186945,1.185320733
2582,629,155.6363636,1.27,0,0.679216404,-0.633985211,-0.05821474
2605,1278,161.8636364,1.27,0.34,0.383340976,-1.455846241,-0.068187017
2785,1440,158.5454545,0.34,0.08,0.766681952,0.41317198,1.383445128
3504,1420,131.6363636,0.51,0,0.60488163,-0.798693239,-0.070124687
4732,771,80.72727273,0.56,0,0.727355852,-0.870072289,-0.075286067
4912,644,74.31818182,0.09,0,0.647590031,-0.569829771,1.066243034
5094,749,117.0454545,0.91,0,0.869225302,0.658363319,-0.470640202
5631,781,81.36363636,0.71,0,0.682465809,0.240523805,0.842410557
5997,970,132.6363636,0.34,0,0.838064957,1.370779065,-1.026738612
5998,1106,273.0909091,0.58,0,0.653604098,-0.921037646,0.61517439
5999,572,137.5,0.58,0,0.542121726,-1.19986882,0.150546627
6178,982,140.7272727,0.48,0,0.690257151,1.956027144,-1.476566087
6586,817,73.13636364,0.15,0,0.698588753,0.039839327,0.452885979
6607,783,68.36363636,0.08,0.26,0.709063489,0.127022429,0.898886909
6750,863,80.27272727,0.16,0.39,0.610472935,1.313481895,-0.28912738
7303,759,87,0.19,0,0.748814359,3.520831749,-2.663475677
7685,629,58.81818182,0.55,0,0.42451353,0.057592575,0.67290653
7865,845,115.6818182,0.41,0.22,0.587776525,1.32935446,4.268234611
7866,1140,136.0454545,0.16,0.26,0.532500838,-0.786832838,0.322970371
8010,688,71.81818182,0.27,0,0.631943942,-0.221885125,1.420876102
8322,869,91.90909091,0.45,0,0.308587171,-0.378306556,-0.058974591
8507,695,64.36363636,0.14,0,0.612666778,0.224611027,-0.138749103
8677,826,115.5454545,0.21,0,0.613817419,2.158079625,5.864269241
9995,813,90.77272727,0.17,0,0.619825204,-1.355410676,-0.110357968
10014,580,51.31818182,0.27,0,0.649389918,1.147122658,-0.725016357
10186,647,72.54545455,0.09,0,0.250076583,0.795711336,1.449818163
12334,648,75.77272727,0.41,0,0.471513894,3.599327448,10.37520588
