ori,ori,trip,f_size,cluster,mrt_km_o,cycle_km_o,smooth_entro_o,ori_far_pc1,ori_far_pc2
74,74,0,0.0,0,3.64,0.0,0.0,0.054314048675862134,-0.008444197713682633
75,75,0,0.0,0,3.27,0.0,0.35620718700000004,0.054314048678676494,-0.008444197711859891
79,79,3,1.772727273,0,3.06,0.0,0.0,0.09512506600687563,0.11109479283453644
255,255,5,0.590909091,0,3.14,0.0,0.35620718700000004,0.05431404867520295,-0.0084441977155585
256,256,8,0.727272727,0,2.91,0.0,0.250349368,0.05431404867584376,-0.008444197713736433
258,258,0,0.0,0,2.93,0.0,0.0,0.05498152646798332,-0.0064890976769362615
260,260,0,0.0,0,3.25,0.0,0.0,0.07444748389249546,0.05052837095677218
437,437,39,5.363636364,0,2.31,0.0,0.234509508,0.1752944422239141,0.34591781202407523
438,438,36,13.86363636,0,2.13,0.0,0.26744293350000004,0.3554920238106183,0.8737320742217394
439,439,3,0.227272727,0,2.47,0.0,0.339976251,0.1576406587676737,0.29420835728053624
613,613,7,1.454545455,0,3.39,0.0,0.638494704,0.3825347992422642,0.9529426964539992
617,617,66,9.818181818,1,1.85,0.0,0.117254754,0.2283386374031119,0.5012888358516389
618,618,72,17.5,1,2.02,0.0,0.5348858670000001,0.376569267051692,0.9354691380185426
619,619,7,0.636363636,0,2.21,0.0,0.542121726,0.347493332600425,0.8503032176162262
626,626,15,2.454545455,0,3.33,0.0,0.7572304329999999,1.0880795597905244,-0.7994430644424739
627,627,0,0.0,0,3.78,0.0,0.282287517,0.3245877614375364,-0.21524757643208395
791,791,10,1.0,0,3.08,0.0,0.49113259,0.06400131088650403,0.019930629025959483
792,792,1,0.454545455,0,2.76,0.0,0.35620718700000004,0.1812349537627752,0.3633180828121268
793,793,25,3.954545455,0,3.2,0.0,0.5594357025,0.2033746694743391,0.4281672201349962
797,797,35,6.0,0,1.57,0.29,0.20461161600000005,0.051198568080702216,-0.008669476407449606
799,799,1,0.363636364,0,2.17,0.0,0.4491644565,0.21588768885703846,0.4648189334109964
800,800,78,19.27272727,1,1.77,0.0,0.833372454,0.0012348603607988456,-0.012282324719963615
803,803,0,0.0,0,2.9,0.0,0.519758975,0.11355257181710066,-0.053771309295188585
804,804,0,0.0,0,2.96,0.0,0.2229196525,0.08797965745558227,-0.03420386768350017
805,805,22,6.318181817999999,0,2.81,0.0,0.891836539,0.4383727039598121,-0.3023115765541945
806,806,1,1.0,0,3.19,0.0,0.350945343,0.8381155621769913,-0.600024197357278
807,807,7,0.5,0,3.54,0.0,0.564575034,0.05568333257142186,-0.009491922751878013
971,971,27,4.727272727,0,2.63,0.0,0.243659407,0.28773838983536904,0.67527583517033
972,972,19,2.363636364,0,2.43,0.0,0.288983099,0.5305042959040266,1.386358117574448
973,973,15,2.136363636,0,3.31,0.0,0.480376701,0.21596627299730564,0.4650491131373298
974,974,6,0.954545455,0,2.67,0.0,0.17810359350000002,0.13968468022235872,0.2416137470505852
976,976,90,12.90909091,1,1.97,0.0,0.5452174870000001,0.05385220899606508,-0.00847759308772402
977,977,182,42.22727273,1,1.33,0.36,0.4092232320000001,-0.4315628247416589,-0.0435776880474452
978,978,132,27.63636364,1,1.41,0.42,0.564575034,-1.4850155818746815,-0.11975227935795635
979,979,42,8.227272727,0,1.28,0.59,0.35620718700000004,0.05426219369682864,-0.00844794731878688
983,983,2,0.318181818,0,2.37,0.0,0.327103576,0.16629382322940084,0.04630086628935731
984,984,17,2.227272727,0,2.9,0.0,0.445839305,0.18000156803474324,-0.10249339453007242
985,985,7,1.090909091,0,2.66,0.0,0.488342455,0.3861022949979556,-0.2623162064168241
986,986,7,0.590909091,0,3.39,0.0,0.17547267149999998,0.06375013036748556,-0.015664335979261267
1148,1148,8,1.0,0,2.36,0.0,0.271060863,0.05560887816423556,-0.009434953012537592
1149,1149,35,4.0,0,3.47,0.0,0.19362156100000005,0.5120110865680352,1.3321899120114524
1150,1150,129,19.77272727,1,1.99,0.0,0.33685099700000004,0.16384809301634468,0.3123904677131688
1152,1152,18,2.772727273,0,2.2,0.0,0.7124143740000001,0.06767078414792496,0.030678832775847414
1153,1153,12,1.6818181819999998,0,2.28,0.0,0.481465348,0.15089158924786533,0.27443975041161234
1154,1154,30,3.181818182,0,2.38,0.0,0.136107569,0.13625374930061934,0.2315642543927846
1157,1157,95,14.81818182,1,1.01,0.14,0.368163404,-0.9754293355323552,-0.08290437726671665
