,sum,new,buy_cost,manage_cost,income
0,10000.0,10000.0,6000000.0,0.0,0.0
1,12500.0,5000.0,3000000.0,1875000.0,85042409.09406964
2,15625.0,6250.0,3750000.0,2343750.0,103723039.81538881
3,19531.25,7812.5,4687500.0,2929687.5,122403670.53670739
4,18554.6875,3906.25,2343750.0,2783203.125,118109613.70517197
5,17626.95313,3710.9375,2226562.5,2644042.969,113815556.89738314
6,16745.60547,3525.390625,2115234.375,2511840.82,109521500.04835103
7,13396.48438,837.2802734,502368.1641,2009472.656,90840869.35202907
8,10717.1875,669.8242187999998,401894.5313,1607578.125,72160238.59946498
9,8573.75,535.859375,321515.625,1286062.5,53479607.87814646
10,6859.0,428.6875,257212.5,1028850.0,34798977.15682821
